,0
0,GAB1
1,SLITRK5
2,EXOC6B
3,CTNNAL1
4,RGS17
5,YKT6
6,LHFPL3
7,PLD3
8,SERTAD2
9,SMS
10,CAMKMT
11,TASP1
12,SMPD1
13,HSPG2
14,AC002454.1
15,GGCX
16,SCD
17,SYT14
18,SCAMP1
19,SLC38A2
20,ITGA7
21,MICU1
22,PAWR
23,UHRF1
24,CTGF
25,CCNC
26,GIT2
27,ZNF516
28,CENPA
29,SARS
30,RNF169
31,NPC2
32,COL12A1
33,IL1RAP
34,PMP2
35,TOM1L2
36,STXBP5L
37,MBNL2
38,RPS6KA3
39,PGM2L1
40,TRPS1
41,PTPRG
42,ID3
43,TRAPPC9
44,HIST1H4C
45,SLIT1
46,HLTF
47,UBR2
48,AHR
49,CTIF
50,SLC2A3
51,TIPARP
52,LMNB1
53,ATRNL1
54,SPATA5
55,SORBS2
56,WIZ
57,ODC1
58,SNTG1
59,ABTB2
60,GABBR2
61,ARHGAP26
62,OSBPL3
63,EPB41L2
64,F2R
65,FAM3C
66,C12orf75
67,BAZ2B
68,RRBP1
69,PCCA
70,FANCD2
71,PTBP1
72,SYN3
73,CIITA
74,DNER
75,ABHD17A
76,ADGRL1
77,ITGA6
78,XPR1
79,GFAP
80,KIF4A
81,CMIP
82,MKI67
83,PACS2
84,SPTLC2
85,RHBDF1
86,FOXM1
87,AHNAK2
88,HECTD4
89,KANK1
90,TIMM13
91,DMWD
92,TP53
93,NCOA3
94,UFD1
95,DCP2
96,LRP1B
97,TNIK
98,ERRFI1
99,GSK3B
100,MALAT1
101,EML6
102,THBS1
103,ADAM19
104,KIF1A
105,MCAM
106,DOCK4
107,SLC2A6
108,LIPA
109,GTDC1
110,ATF4
111,KLHDC8A
112,ZFHX4
113,TXNRD1
114,AL390879.2
115,PCDHGC3
116,SVIL
117,FAM126A
118,CUEDC1
119,PPARA
120,EIF2AK3
121,MAN1A1
122,GLI3
123,NUP54
124,SATB2
125,STYXL1
126,SOX9
127,MCM4
128,TMEM189
129,SLC38A1
130,SLC38A9
131,NLRP1
132,RAN
133,TTC28
